datetime;(('bus_gen', 'storage'), 'flow');(('storage', '0'), 'delta');(('storage', '0'), 'delta_out');(('storage', '1'), 'delta');(('storage', '1'), 'delta_out');(('storage', '2'), 'delta');(('storage', '2'), 'delta_out');(('storage', '3'), 'delta');(('storage', '3'), 'delta_out');P_in;P_in_stor;P_out;P_out_stor;(('storage', 'None'), 'Y_p_in');(('storage', 'None'), 'Y_p_out');soc;(('storage', 'bus_dem'), 'flow');eta_in;eta_out
2021-12-11 12:00:00;105.97350000001835;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;196.65569285660894;0.0;0.8496624156038943;
2021-12-11 13:00:00;105.97350000001835;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;286.6973928566238;0.0;0.8496624156038943;
2021-12-11 14:00:00;105.97350000001835;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;376.7390928566387;0.0;0.8496624156038943;
2021-12-11 15:00:00;105.97350000001835;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;466.7807928566536;0.0;0.8496624156038943;
2021-12-11 16:00:00;105.97350000001835;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;556.8224928566685;0.0;0.8496624156038943;
2021-12-11 17:00:00;68.86724237499993;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;68.86724237499993;54.77942717995361;0.0;0.0;1.0;0.0;611.6019200366221;0.0;0.7954351777535315;
2021-12-11 18:00:00;15.9;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;15.9;11.845500000000001;0.0;0.0;1.0;0.0;623.4474200366221;0.0;0.7450000000000001;
2021-12-11 19:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;623.4474200366221;0.0;;
2021-12-11 20:00:00;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;75.9463498750001;87.61822238125812;0.0;1.0;535.829197655364;75.9463498750001;;0.866787156951558
2021-12-11 21:00:00;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;71.43400962500002;83.0614731343603;0.0;1.0;452.76772452100374;71.43400962500002;;0.8600137576352433
2021-12-11 22:00:00;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;49.20094537500003;60.609598239195584;0.0;1.0;392.15812628180817;49.20094537500003;;0.8117682150082675
2021-12-11 23:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;392.15812628180817;0.0;;
2021-12-12 00:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;392.15812628180817;0.0;;
2021-12-12 01:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;392.15812628180817;0.0;;
2021-12-12 02:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;392.15812628180817;0.0;;
2021-12-12 03:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;392.15812628180817;0.0;;
2021-12-12 04:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;392.15812628180817;0.0;;
2021-12-12 05:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;392.15812628180817;0.0;;
2021-12-12 06:00:00;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;62.90356200000006;74.44707159606338;0.0;1.0;317.7110546857448;62.90356200000005;;0.8449434027614093
2021-12-12 07:00:00;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;61.76917950000001;73.3015248694908;0.0;1.0;244.40952981625398;61.76917950000001;;0.8426725038800559
2021-12-12 08:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;244.40952981625398;0.0;;
2021-12-12 09:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;244.40952981625398;0.0;;
2021-12-12 10:00:00;62.7404985;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;62.7404985;49.8132412207686;0.0;0.0;1.0;0.0;294.2227710370226;0.0;0.7939567330783737;
2021-12-12 11:00:00;105.97350000001835;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;384.2644710370375;0.0;0.8496624156038943;
2021-12-12 12:00:00;105.97350000001835;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;474.30617103705237;0.0;0.8496624156038943;
2021-12-12 13:00:00;105.97350000001835;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;564.3478710370673;0.0;0.8496624156038943;
2021-12-12 14:00:00;105.97350000001835;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;654.3895710370822;0.0;0.8496624156038943;
2021-12-12 15:00:00;105.97350000001835;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;744.4312710370971;0.0;0.8496624156038943;
