datetime;(('bus_gen', 'storage'), 'flow');(('storage', '0'), 'delta');(('storage', '0'), 'delta_out');(('storage', '1'), 'delta');(('storage', '1'), 'delta_out');(('storage', '2'), 'delta');(('storage', '2'), 'delta_out');(('storage', '3'), 'delta');(('storage', '3'), 'delta_out');(('storage', '4'), 'delta');(('storage', '4'), 'delta_out');P_in;P_in_stor;P_out;P_out_stor;(('storage', 'None'), 'Y_p_in');(('storage', 'None'), 'Y_p_out');soc;(('storage', 'bus_dem'), 'flow');eta_in;eta_out
2021-12-10 02:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;210.56;0.0;;
2021-12-10 03:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;210.56;0.0;;
2021-12-10 04:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;210.56;0.0;;
2021-12-10 05:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;210.56;0.0;;
2021-12-10 06:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;210.56;0.0;;
2021-12-10 07:00:00;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;93.46399999999998;105.28;0.0;1.0;105.28;93.464;;0.8877659574468083
2021-12-10 08:00:00;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;93.46399999999998;105.28;0.0;1.0;0.0;93.464;;0.8877659574468083
2021-12-10 09:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-10 10:00:00;33.13963424999996;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.13963424999996;26.248595481882468;0.0;0.0;1.0;0.0;26.248595481882468;0.0;0.7920605062767855;
2021-12-10 11:00:00;81.67142987499999;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;81.67142987499999;66.4154308285757;0.0;0.0;1.0;0.0;92.66402631045815;0.0;0.8132027433611245;
2021-12-10 12:00:00;99.25773499999991;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;99.25773499999991;83.43102653245182;0.0;0.0;1.0;0.0;176.09505284290998;0.0;0.8405493690990622;
2021-12-10 13:00:00;105.92579999999994;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;105.92579999999994;89.88270000000432;0.0;0.0;1.0;0.0;265.9777528429143;0.0;0.8485439807865919;
2021-12-10 14:00:00;105.92579999999994;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;105.92579999999994;89.88270000000432;0.0;0.0;1.0;0.0;355.8604528429186;0.0;0.8485439807865919;
2021-12-10 15:00:00;100.61046574999997;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;100.61046574999997;84.73985856820906;0.0;0.0;1.0;0.0;440.6003114111277;0.0;0.8422568958061809;
2021-12-10 16:00:00;60.91679924999999;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;60.91679924999999;46.33432788010815;0.0;0.0;1.0;0.0;486.93463929123584;0.0;0.7606165860742947;
2021-12-10 17:00:00;16.913462374999966;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.913462374999966;10.836515420508125;0.0;0.0;1.0;0.0;497.771154711744;0.0;0.6407035520134384;
2021-12-10 18:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;497.771154711744;0.0;;
2021-12-10 19:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;497.771154711744;0.0;;
2021-12-10 20:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;497.771154711744;0.0;;
2021-12-10 21:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;497.771154711744;0.0;;
2021-12-10 22:00:00;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;93.46400000000014;105.28000000000016;0.0;1.0;392.49115471174383;93.46400000000014;;0.8877659574468085
2021-12-10 23:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;392.49115471174383;0.0;;
2021-12-11 00:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;392.49115471174383;0.0;;
2021-12-11 01:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;392.49115471174383;0.0;;
2021-12-11 02:00:00;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;93.46400000000006;105.28000000000006;0.0;1.0;287.2111547117438;93.46400000000006;;0.8877659574468085
2021-12-11 03:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;287.2111547117438;0.0;;
2021-12-11 04:00:00;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.10203377798905;76.6511547117426;0.0;1.0;210.5600000000012;65.10203377798905;;0.8493288068890071
2021-12-11 05:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;210.5600000000012;0.0;;
